area,name,lat,long,status,note
熊谷市,01-01,36.147528,139.3829234,0,
熊谷市,01-02,36.1470396,139.382769,0,
熊谷市,01-03,36.1459705,139.3845246,0,
熊谷市,01-04,36.1439949,139.3878475,0,
熊谷市,01-05,36.1439949,139.3878475,0,
熊谷市,01-06,36.1472489,139.3882918,0,
熊谷市,01-07,36.1477871,139.3897134,0,
熊谷市,02-01,36.1442459,139.3814994,0,
熊谷市,02-02,36.143685,139.38265,0,
熊谷市,02-03,36.1431568,139.3855562,0,
熊谷市,02-04,36.142832,139.3855661,0,
熊谷市,02-05,36.1442212,139.3844362,0,
熊谷市,02-06,36.1442212,139.3844362,0,
熊谷市,02-07,36.1436214,139.3808845,0,
熊谷市,03-01,36.147729,139.3976885,0,
熊谷市,03-02,36.147729,139.3976885,0,
熊谷市,03-03,36.1456904,139.3961458,0,
熊谷市,03-04,36.1456904,139.3961458,0,
熊谷市,03-05,36.1458292,139.3997233,0,
熊谷市,03-06,36.1437563,139.4005567,0,
熊谷市,03-07,36.1467714,139.4049358,0,
熊谷市,04-01,36.1450337,139.3933729,0,
熊谷市,04-02,36.1452929,139.3940078,0,
熊谷市,04-03,36.1450337,139.3933729,0,
熊谷市,04-04,36.1450337,139.3933729,0,
熊谷市,04-05,36.1437598,139.3941948,0,
熊谷市,04-06,36.140431,139.3916567,0,
熊谷市,04-07,36.1410534,139.3915104,0,
熊谷市,05-01,36.1410035,139.3951487,0,
熊谷市,05-02,36.1410035,139.3951487,0,
熊谷市,05-03,36.1386055,139.3964016,0,
熊谷市,05-04,36.1398693,139.3986409,0,
熊谷市,05-05,36.1362294,139.3992163,0,
熊谷市,05-06,36.1356293,139.3990376,0,
熊谷市,05-07,36.1389932,139.4018952,0,
熊谷市,06-01,36.1440824,139.3748346,0,
熊谷市,06-02,36.1425866,139.3801463,0,
熊谷市,06-03,36.1440824,139.3748346,0,
熊谷市,06-04,36.1412767,139.3727941,0,
熊谷市,06-05,36.139616,139.3753921,0,
熊谷市,06-06,36.1392219,139.3790551,0,
熊谷市,06-07,36.1392219,139.3790551,0,
熊谷市,07-01,36.1503854,139.3806498,0,
熊谷市,07-02,36.1486488,139.3796963,0,
熊谷市,07-03,36.1486488,139.3796963,0,
熊谷市,07-04,36.1456384,139.378643,0,
熊谷市,07-05,36.1457987,139.3793651,0,
熊谷市,07-06,36.1454678,139.3780821,0,
熊谷市,07-07,36.1454678,139.3780821,0,
熊谷市,08-01,36.1521532,139.3813209,0,
熊谷市,08-02,36.1522125,139.3773138,0,
熊谷市,08-03,36.1522125,139.3773138,0,
熊谷市,08-04,36.1521899,139.3735457,0,
熊谷市,08-05,36.1490655,139.3717462,0,
熊谷市,08-06,36.1566128,139.3678805,0,
熊谷市,08-07,36.1473979,139.3724446,0,
熊谷市,09-01,36.1534192,139.3658722,0,
熊谷市,09-02,36.1482952,139.3689891,0,
熊谷市,09-03,36.1495333,139.3639444,0,
熊谷市,09-04,36.1513919,139.3685645,0,
熊谷市,09-05,36.1470113,139.3618247,0,
熊谷市,09-06,36.1454151,139.3662668,0,
熊谷市,09-07,36.1448012,139.3710265,0,
熊谷市,10-01,36.1546003,139.3913476,0,
熊谷市,10-02,36.1546003,139.3913476,0,
熊谷市,10-03,36.1528168,139.3893801,0,
熊谷市,10-04,36.1528168,139.3893801,0,
熊谷市,10-05,36.1489945,139.3890036,0,
熊谷市,10-06,36.149276,139.3828483,0,
熊谷市,10-07,36.1524025,139.3859598,0,
熊谷市,11-01,36.1576131,139.3879864,0,
熊谷市,11-02,36.1589336,139.3875685,0,
熊谷市,11-03,36.1618397,139.3889438,0,
熊谷市,11-04,36.1623996,139.3862604,0,
熊谷市,11-05,36.1632385,139.3853776,0,
熊谷市,11-06,36.1611095,139.3909618,0,
熊谷市,11-07,36.1602126,139.3934645,0,
熊谷市,11-08,36.1678542,139.3943962,0,
熊谷市,12-01,36.1636887,139.4015579,0,
熊谷市,12-02,36.1636735,139.4050901,0,
熊谷市,12-03,36.1541306,139.4160338,0,
熊谷市,12-04,36.1463243,139.4148769,0,
熊谷市,12-05,36.1542216,139.4094562,0,
熊谷市,12-06,36.1541862,139.4059028,0,
熊谷市,12-07,36.1594998,139.4036488,0,
熊谷市,12-08,36.1564232,139.4053779,0,
熊谷市,13-01,36.1711542,139.3667902,0,
熊谷市,13-02,36.1711542,139.3667902,0,
熊谷市,13-03,36.1695084,139.3728206,0,
熊谷市,13-04,36.1695084,139.3728206,0,
熊谷市,13-05,36.1663922,139.3776785,0,
熊谷市,13-06,36.1691137,139.3818168,0,
熊谷市,13-07,36.1676686,139.3707488,0,
熊谷市,14-01,36.1330319,139.4091585,0,
熊谷市,14-02,36.1408083,139.4072136,0,
熊谷市,14-03,36.1342973,139.4143949,0,
熊谷市,14-04,36.1330585,139.4086087,0,
熊谷市,14-05,36.13106,139.4019227,0,
熊谷市,14-06,36.128379,139.4105502,0,
熊谷市,14-07,36.126516,139.4051378,0,
熊谷市,14-08,36.132686,139.3979861,0,
熊谷市,14-09,36.1308821,139.4135645,0,
熊谷市,15-01,36.1287421,139.3999711,0,
熊谷市,15-02,36.1223271,139.4093768,0,
熊谷市,15-03,36.1164032,139.4269037,0,
熊谷市,15-04,36.1218185,139.418322,0,
熊谷市,15-05,36.1222996,139.4238377,0,
熊谷市,15-06,36.12295,139.4273616,0,
熊谷市,15-07,36.1196137,139.4319861,0,
熊谷市,15-08,36.1175432,139.4303978,0,
熊谷市,15-09,36.1164032,139.4269037,0,
熊谷市,16-01,36.1785963,139.3372406,0,
熊谷市,16-02,36.1774632,139.338985,0,
熊谷市,16-03,36.1794632,139.3444363,0,
熊谷市,16-04,36.1795821,139.3393021,0,
熊谷市,16-05,36.1770085,139.3426698,0,
熊谷市,16-06,36.172939,139.3445973,0,
熊谷市,16-07,36.1751543,139.3472316,0,
熊谷市,17-01,36.154585,139.34628,0,
熊谷市,17-02,36.1534767,139.3451992,0,
熊谷市,17-03,36.154585,139.34628,0,
熊谷市,17-04,36.145529,139.354987,0,
熊谷市,17-05,36.1415085,139.3171053,0,
熊谷市,17-06,36.1465882,139.3322062,0,
熊谷市,17-07,36.1495078,139.3396217,0,
熊谷市,17-08,36.1490087,139.3561022,0,
熊谷市,17-09,36.1491914,139.3549441,0,
