area_id,area_name,area_block
09-01,大阪市都島区,大阪市
09-02,大阪市福島区,大阪市
09-03,大阪市此花区,大阪市
09-04,大阪市西区,大阪市
09-05,大阪市港区,大阪市
09-06,大阪市大正区,大阪市
09-07,大阪市天王寺区,大阪市
09-08,大阪市浪速区,大阪市
09-09,大阪市西淀川区,大阪市
09-10,大阪市東淀川区,大阪市
09-11,大阪市東成区,大阪市
09-12,大阪市生野区,大阪市
09-13,大阪市旭区,大阪市
09-14,大阪市城東区,大阪市
09-15,大阪市阿倍野区,大阪市
09-16,大阪市住吉区,大阪市
09-17,大阪市東住吉区,大阪市
09-18,大阪市西成区,大阪市
09-19,大阪市淀川区,大阪市
09-20,大阪市鶴見区,大阪市
09-21,大阪市住之江区,大阪市
09-22,大阪市平野区,大阪市
09-23,大阪市北区,大阪市
09-24,大阪市中央区,大阪市
09-25,堺市堺区,堺市
09-26,堺市中区,堺市
09-27,堺市東区,堺市
09-28,堺市西区,堺市
09-29,堺市南区,堺市
09-30,堺市北区,堺市
09-31,堺市美原区,堺市
09-32,岸和田市,岸和田市
09-33,豊中市,豊中市
09-34,池田市,池田市
09-35,吹田市,吹田市
09-36,泉大津市,泉大津市
09-37,高槻市,高槻市
09-38,貝塚市,貝塚市
09-39,守口市,守口市
09-40,枚方市,枚方市
09-41,茨木市,茨木市
09-42,八尾市,八尾市
09-43,泉佐野市,泉佐野市
09-44,富田林市,富田林市
09-45,寝屋川市,寝屋川市
09-46,河内長野市,河内長野市
09-47,松原市,松原市
09-48,大東市,大東市
09-49,和泉市,和泉市
09-50,箕面市,箕面市
09-51,柏原市,柏原市
09-52,羽曳野市,羽曳野市
09-53,門真市,門真市
09-54,摂津市,摂津市
09-55,高石市,高石市
09-56,藤井寺市,藤井寺市
09-57,東大阪市,東大阪市
09-58,泉南市,泉南市
09-59,四條畷市,四條畷市
09-60,交野市,交野市
09-61,大阪狭山市,大阪狭山市
09-62,阪南市,阪南市
09-63,島本町,島本町
09-64,豊能町,豊能町
09-65,能勢町,能勢町
09-66,忠岡町,忠岡町
09-67,熊取町,熊取町
09-68,田尻町,田尻町
09-69,岬町,岬町
09-70,太子町,太子町
09-71,河南町,河南町
09-72,千早赤阪村,千早赤阪村
