area_id,area_name,area_block
1,札幌市中央区,
2,札幌市北区,
3,札幌市東区,
4,札幌市白石区,
5,札幌市豊平区,
6,札幌市南区,
7,札幌市西区,
8,札幌市厚別区,
9,札幌市手稲区,
10,札幌市清田区,
11,函館市,
12,小樽市,
13,旭川市,
14,室蘭市,
15,釧路市,
16,帯広市,
17,北見市,
18,夕張市,
19,岩見沢市,
20,網走市,
21,留萌市,
22,苫小牧市,
23,稚内市,
24,美唄市,
25,芦別市,
26,江別市,
27,赤平市,
28,紋別市,
29,士別市,
30,名寄市,
31,三笠市,
32,根室市,
33,千歳市,
34,滝川市,
35,砂川市,
36,歌志内市,
37,深川市,
38,富良野市,
39,登別市,
40,恵庭市,
41,伊達市,
42,北広島市,
43,石狩市,
44,北斗市,
45,当別町,
46,新篠津村,
47,松前町,
48,福島町,
49,知内町,
50,木古内町,
51,七飯町,
52,鹿部町,
53,森町,
54,八雲町,
55,長万部町,
56,江差町,
57,上ノ国町,
58,厚沢部町,
59,乙部町,
60,奥尻町,
61,今金町,
62,せたな町,
63,島牧村,
64,寿都町,
65,黒松内町,
66,蘭越町,
67,ニセコ町,
68,真狩村,
69,留寿都村,
70,喜茂別町,
71,京極町,
72,倶知安町,
73,共和町,
74,岩内町,
75,泊村,
76,神恵内村,
77,積丹町,
78,古平町,
79,仁木町,
80,余市町,
81,赤井川村,
82,南幌町,
83,奈井江町,
84,上砂川町,
85,由仁町,
86,長沼町,
87,栗山町,
88,月形町,
89,浦臼町,
90,新十津川町,
91,妹背牛町,
92,秩父別町,
93,雨竜町,
94,北竜町,
95,沼田町,
96,鷹栖町,
97,東神楽町,
98,当麻町,
99,比布町,
100,愛別町,
101,上川町,
102,東川町,
103,美瑛町,
104,上富良野町,
105,中富良野町,
106,南富良野町,
107,占冠村,
108,和寒町,
109,剣淵町,
110,下川町,
111,美深町,
112,音威子府村,
113,中川町,
114,幌加内町,
115,増毛町,
116,小平町,
117,苫前町,
118,羽幌町,
119,初山別村,
120,遠別町,
121,天塩町,
122,猿払村,
123,浜頓別町,
124,中頓別町,
125,枝幸町,
126,豊富町,
127,礼文町,
128,利尻町,
129,利尻富士町,
130,幌延町,
131,美幌町,
132,津別町,
133,斜里町,
134,清里町,
135,小清水町,
136,訓子府町,
137,置戸町,
138,佐呂間町,
139,遠軽町,
140,湧別町,
141,滝上町,
142,興部町,
143,西興部村,
144,雄武町,
145,大空町,
