area_id,area_name,area_block
10-01,神戸市東灘区,神戸市
10-02,神戸市灘区,神戸市
10-03,神戸市兵庫区,神戸市
10-04,神戸市長田区,神戸市
10-05,神戸市須磨区,神戸市
10-06,神戸市垂水区,神戸市
10-07,神戸市北区,神戸市
10-08,神戸市中央区,神戸市
10-09,神戸市西区,神戸市
10-10,姫路市,姫路市
10-11,尼崎市,尼崎市
10-12,明石市,明石市
10-13,西宮市,西宮市
10-14,洲本市,洲本市
10-15,芦屋市,芦屋市
10-16,伊丹市,伊丹市
10-17,相生市,相生市
10-18,豊岡市,豊岡市
10-19,加古川市,加古川市
10-20,赤穂市,赤穂市
10-21,西脇市,西脇市
10-22,宝塚市,宝塚市
10-23,三木市,三木市
10-24,高砂市,高砂市
10-25,川西市,川西市
10-26,小野市,小野市
10-27,三田市,三田市
10-28,加西市,加西市
10-29,丹波篠山市,丹波篠山市
10-30,養父市,養父市
10-31,丹波市,丹波市
10-32,南あわじ市,南あわじ市
10-33,朝来市,朝来市
10-34,淡路市,淡路市
10-35,宍粟市,宍粟市
10-36,加東市,加東市
10-37,たつの市,たつの市
10-38,猪名川町,猪名川町
10-39,多可町,多可町
10-40,稲美町,稲美町
10-41,播磨町,播磨町
10-42,市川町,市川町
10-43,福崎町,福崎町
10-44,神河町,神河町
10-45,太子町,太子町
10-46,上郡町,上郡町
10-47,佐用町,佐用町
10-48,香美町,香美町
10-49,新温泉町,新温泉町
