area_id,area_name
kobe,神戸市
himeji,姫路市
amagasaki,尼崎市
akashi,明石市
nishinomiya,西宮市
sumoto,洲本市
ashiya,芦屋市
itami,伊丹市
aioi,相生市
toyooka,豊岡市
kakogawa,加古川市
ako,赤穂市
nishiwaki,西脇市
takarazuka,宝塚市
miki,三木市
takasago,高砂市
kawanishi,川西市
ono,小野市
sanda,三田市
kasai,加西市
tambasasayama,丹波篠山市
yabu,養父市
tamba,丹波市
minamiawaji,南あわじ市
asago,朝来市
awaji,淡路市
shiso,宍粟市
kato,加東市
tatsuno,たつの市
inagawa,猪名川町
taka,多可町
inami,稲美町
harima,播磨町
ichikawa,市川町
fukusaki,福崎町
kamikawa,神河町
taishi,太子町
kamigori,上郡町
sayo,佐用町
kami,香美町
shinonsen,新温泉町
