area_id,area_name,area_block
02-01,仙台市青葉区,仙台市
02-02,仙台市宮城野区,仙台市
02-03,仙台市若林区,仙台市
02-04,仙台市太白区,仙台市
02-05,仙台市泉区,仙台市
02-06,石巻市,石巻市
02-07,塩竈市,塩竈市
02-08,気仙沼市,気仙沼市
02-09,白石市,白石市
02-10,名取市,名取市
02-11,角田市,角田市
02-12,多賀城市,多賀城市
02-13,岩沼市,岩沼市
02-14,登米市,登米市
02-15,栗原市,栗原市
02-16,東松島市,東松島市
02-17,大崎市,大崎市
02-18,富谷市,富谷市
02-19,蔵王町,蔵王町
02-20,七ヶ宿町,七ヶ宿町
02-21,大河原町,大河原町
02-22,村田町,村田町
02-23,柴田町,柴田町
02-24,川崎町,川崎町
02-25,丸森町,丸森町
02-26,亘理町,亘理町
02-27,山元町,山元町
02-28,松島町,松島町
02-29,七ヶ浜町,七ヶ浜町
02-30,利府町,利府町
02-31,大和町,大和町
02-32,大郷町,大郷町
02-33,大衡村,大衡村
02-34,色麻町,色麻町
02-35,加美町,加美町
02-36,涌谷町,涌谷町
02-37,美里町,美里町
02-38,女川町,女川町
02-39,南三陸町,南三陸町
