area_id,area_name
sendai,仙台市
ishinomaki,石巻市
shiogama,塩竈市
kesennuma,気仙沼市
shiroishi,白石市
natori,名取市
kakuda,角田市
tagajo,多賀城市
iwanuma,岩沼市
tome,登米市
kurihara,栗原市
higashimatsushima,東松島市
osaki,大崎市
tomiya,富谷市
zao,蔵王町
shichikashuku,七ヶ宿町
ogawara,大河原町
murata,村田町
shibata,柴田町
kawasaki,川崎町
marumori,丸森町
watari,亘理町
yamamoto,山元町
matsushima,松島町
shichigahama,七ヶ浜町
rifu,利府町
taiwa,大和町
osato,大郷町
ohira,大衡村
shikama,色麻町
kami,加美町
wakuya,涌谷町
misato,美里町
onagawa,女川町
minamisanriku,南三陸町
